symbol,name,country,ipo_date,industry,mkt_cap
CP,Canadian Pacific Railway Ltd,CA,2001-10-03,Road & Rail,95339.846974
GILD,Gilead Sciences Inc,US,1992-01-22,Biotechnology,103971.15582400002
PATH,UiPath Inc,US,2021-04-21,Technology,9149.422044000004
XELA,Exela Technologies Inc,US,2015-01-16,Professional Services,45.10682
ASAN,Asana Inc,US,2020-09-30,Technology,4163.410728
TIL,Instil Bio Inc,US,2021-03-19,Biotechnology,86.606652
INVO,INVO Bioscience Inc,US,2008-11-11,Health Care,8.034885000000001
CBAN,Colony Bankcorp Inc,US,1958-09-16,Banking,168.72530900000004
BLEU,Bleuacacia Ltd,US,2021-11-18,,352.590013
APD,Air Products and Chemicals Inc,US,1961-11-13,Chemicals,62627.36086999999
XPOF,Xponential Fitness Inc,US,2021-07-23,"Hotels, Restaurants & Leisure",1486.5569290000005
PTEN,Patterson-UTI Energy Inc,US,1993-11-02,,2566.007213
RAND,Rand Capital Corp,US,1970-11-05,Financial Services,33.65651557733538
EXEL,Exelixis Inc,US,2000-04-11,Biotechnology,6637.308602
SANM,Sanmina Corp,US,1993-04-14,Electrical Equipment,3286.7035170000004
TRST,TrustCo Bank Corp NY,US,1983-04-20,Banking,588.045225
LOPE,Grand Canyon Education Inc,US,2008-11-20,Diversified Consumer Services,3562.392502
ZVIA,Zevia PBC,US,2021-07-22,Beverages,248.65825200000003
TNGX,Tango Therapeutics Inc,US,2020-09-03,Biotechnology,390.741383
SSP,E W Scripps Co,US,1988-06-28,Media,735.4817240000001
BOH,Bank of Hawaii Corp,US,1980-03-17,Banking,2003.9903829999998
THRD,Third Harmonic Bio Inc,US,2022-09-15,Pharmaceuticals,176.216815
DAWN,Day One Biopharmaceuticals Inc,US,2021-05-27,Biotechnology,947.8018199999999
RGR,Sturm Ruger & Company Inc,US,1980-03-18,Leisure Products,1002.126359
LOOP,Loop Industries Inc,CA,2012-09-27,Chemicals,134.337898
WOOF,Petco Health and Wellness Company Inc,US,2021-01-14,Retail,2284.25505
NTNX,Nutanix Inc,US,2016-09-30,Technology,5849.411359999999
NEE,Nextera Energy Inc,US,1950-02-15,Utilities,159588.520497
LICY,Li-Cycle Holdings Corp,CA,2020-09-24,Commercial Services & Supplies,941.1978419999997
FPAY,FlexShopper Inc,US,2007-12-12,Financial Services,16.313104
ILMN,Illumina Inc,US,2000-06-28,Life Sciences Tools & Services,36338.420868
RCKY,Rocky Brands Inc,US,1993-02-03,"Textiles, Apparel & Luxury Goods",174.767296
AMC,AMC Entertainment Holdings Inc,US,2013-12-18,Media,2544.0427249999993
EEFT,Euronet Worldwide Inc,US,1997-03-07,Financial Services,5317.449938000001
ATSG,Air Transport Services Group Inc,US,2003-07-23,Logistics & Transportation,1484.9943119999998
NVEC,NVE Corp,US,1983-09-26,Semiconductors,388.63996000000003
CPG,Crescent Point Energy Corp,CA,2001-10-31,Energy ,5474.093056000001
MCRB,Seres Therapeutics Inc,US,2015-06-26,Biotechnology,727.460786
CLRC,ClimateRock,GB,2022-04-28,,103.404
WAB,Westinghouse Air Brake Technologies Corp,US,1995-06-16,Machinery,17378.747249
CURI,CuriosityStream Inc,US,2019-11-22,Media,61.964445999999995
PALI,Palisade Bio Inc,US,2006-12-20,Pharmaceuticals,10.941411
EVR,Evercore Inc,US,2006-08-11,Financial Services,4379.421199
MRBK,Meridian Corp,US,2017-11-07,Banking,279.46407
RHI,Robert Half International Inc,US,1980-03-17,Professional Services,7970.766332999999
HFFG,Hf Foods Group Inc,US,2017-08-14,Retail,212.618746
INT,World Fuel Services Corp,US,1987-06-08,Energy ,1586.421134
PNTM,Pontem Corp,US,2021-01-13,,893.1187109999997
FKWL,Franklin Wireless Corp,US,2002-08-27,Communications,57.62512699999999
DLTR,Dollar Tree Inc,US,1995-03-06,Retail,32971.755485
LOCL,Local Bounti Corp,US,2021-04-19,Food Products,48.72892699999999
HRZN,Horizon Technology Finance Corp,US,2010-10-29,Financial Services,320.30399999999986
UNF,UniFirst Corp,US,1950-10-24,Commercial Services & Supplies,3022.2871760000003
WDFC,WD-40 Co,US,1973-01-17,Consumer products,2426.8805189999994
CCK,Crown Holdings Inc,US,1980-03-17,Packaging,9442.781064999996
MNKD,MannKind Corp,US,2004-07-28,Biotechnology,1095.2834050000001
RNA,Avidity Biosciences Inc,US,2020-06-12,Biotechnology,952.367261
EAF,GrafTech International Ltd,US,2018-02-19,Electrical Equipment,1188.120793
SPNS,Sapiens International Corporation NV,IL,1992-05-29,Technology,1151.8789359999998
XPRO,Expro Group Holdings NV,NL,2013-08-09,,2020.7500999999993
JVA,Coffee Holding Co Inc,US,2005-05-03,Food Products,10.846338000000001
HCAT,Health Catalyst Inc,US,2019-07-25,Health Care,705.9442830000003
TREE,Lendingtree Inc,US,2000-02-16,Financial Services,321.894018
ACVA,ACV Auctions Inc,US,2021-03-24,Commercial Services & Supplies,1995.724963
NBN,Northeast Bank,US,1987-08-19,Banking,284.39070199999986
LARK,Landmark Bancorp Inc,US,1994-03-28,Banking,107.76474099999999
BBBY,Bed Bath & Beyond Inc,US,1992-06-01,Retail,132.368092
PLNT,Planet Fitness Inc,US,2015-08-06,"Hotels, Restaurants & Leisure",6907.132064
HNRG,Hallador Energy Co,US,1981-06-05,Energy ,297.173278
APOG,Apogee Enterprises Inc,US,1971-07-01,Building,937.2039919999997
DYNT,Dynatronics Corp,US,1983-12-01,Health Care,5.596005
REBN,Reborn Coffee Inc,US,2022-08-12,Retail,11.808
FRGE,Forge Global Holdings Inc,US,2020-10-02,Financial Services,274.5013410000001
STER,Sterling Check Corp,US,2021-09-23,Professional Services,1076.6072800000002
SEMR,SEMrush Holdings Inc,US,2021-03-25,Technology,1404.381512
TCI,Transcontinental Realty Investors Inc,US,1985-03-07,Real Estate,326.56615899999997
SLGC,Somalogic Inc,US,2021-02-23,Life Sciences Tools & Services,512.938494
VHI,Valhi Inc,US,1980-03-17,Chemicals,466.611609
SNAX,Stryve Foods Inc,US,2019-03-06,Food Products,11.58966
NCPL,Netcapital Inc,US,2006-06-05,Financial Services,6.071777
MRK,Merck & Co Inc,US,1941-01-01,Pharmaceuticals,285160.103464
AL,Air Lease Corp,US,2011-04-19,Trading Companies & Distributors,4313.392339
AAL,American Airlines Group Inc,US,2013-12-09,Airlines,9126.541187000004
WEJO,Wejo Group Ltd,GB,2021-01-22,Media,45.05023
BDSX,Biodesix Inc,US,2020-10-28,Health Care,134.116763
BRAG,Bragg Gaming Group Inc,CA,2005-03-18,"Hotels, Restaurants & Leisure",95.829262
CSGS,CSG Systems International Inc,US,1996-02-28,Professional Services,1701.6763750000002
GFS,Globalfoundries Inc,US,2021-10-28,Semiconductors,36465.384400999996
QBTS,D-Wave Quantum Inc,CA,2020-10-11,Technology,49.99354399999999
TENX,Tenax Therapeutics Inc,US,1993-10-28,Biotechnology,3.298375
RADI,Radius Global Infrastructure Inc,US,2017-11-15,Telecommunication,1401.621196
ROSE,Rose Hill Acquisition Corp,US,2021-10-14,,196.39
PI,Impinj Inc,US,2016-07-21,Semiconductors,3370.0792810000003
VERB,Verb Technology Company Inc,US,2014-02-13,Technology,12.766687
KKR,KKR & Co Inc,US,2010-07-15,Financial Services,42461.23524200002
PCTY,Paylocity Holding Corp,US,2014-03-19,Technology,10463.514251
PWFL,PowerFleet Inc,US,1999-06-30,Electrical Equipment,110.68111399999998
BAX,Baxter International Inc,US,1961-05-15,Health Care,21383.629403
OPHC,OptimumBank Holdings Inc,US,2003-05-08,Banking,23.563212577639753
RVNC,Revance Therapeutics Inc,US,2014-02-06,Pharmaceuticals,2817.695426000001
DOCN,DigitalOcean Holdings Inc,US,2021-03-24,Technology,3616.46475
BCSA,Blockchain Coinvestors Acquisition Corp I,KY,2021-11-10,,426.443033
MOFG,Midwestone Financial Group Inc (IOWA),US,2008-03-17,Banking,364.45131499999997
PLCE,Children's Place Inc,US,1997-09-19,Retail,474.14382300000005
ICCC,ImmuCell Corp,US,1987-05-01,Biotechnology,38.501912
SGLY,Singularity Future Technology Ltd,US,2008-05-21,Transportation Infrastructure,15.361032000000002
LVO,LiveOne Inc,US,2018-02-22,Media,102.778183
IDYA,IDEAYA Biosciences Inc,US,2019-05-23,Biotechnology,685.16306
BODY,Beachbody Company Inc,US,2020-11-30,Diversified Consumer Services,162.324821
GMVD,G Medical Innovations Holdings Ltd,KY,2017-10-26,Health Care,4.223088
TG,Tredegar Corp,US,1989-07-05,Metals & Mining,306.15020399999986
